variant,players,profile,runs,exp_mean,exp_min,exp_max,time_mean
holdem,3,tight,1,-inf,-inf,-inf,0.1528463
omaha,3,tight,1,-inf,-inf,-inf,0.1606512
shortdeck,3,tight,1,-inf,-inf,-inf,0.1590561
omaha,4,tight,1,-inf,-inf,-inf,1.4312242
holdem,4,tight,1,-inf,-inf,-inf,1.4607767
shortdeck,4,tight,1,-inf,-inf,-inf,1.4314764
holdem,5,tight,1,-inf,-inf,-inf,13.2337205
shortdeck,5,tight,1,-inf,-inf,-inf,13.5216112
omaha,5,tight,1,-inf,-inf,-inf,13.5216046
holdem,6,tight,1,-inf,-inf,-inf,110.6938515
omaha,6,tight,1,-inf,-inf,-inf,110.4877565
shortdeck,6,tight,1,-inf,-inf,-inf,110.6972075
